frame,matchPeriod,team.name,player.id.wyscout,player.id.skillcorner,pass.recipient.id.wyscout,pass.recipient.id.skillcorner,location.x,location.y,pass.endLocation.x,pass.endLocation.y,play_direction,dxt,tracking.object_id,tracking.x,tracking.y,tracking.z,extrapolated,location.x_original,location.y_original,endLocation.x_original,endLocation.y_original,tracking.is_self,tracking.is_teammate,responsibility
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,12190,15.71,-9.08,0.0,True,25,28,25,51,False,False,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,4777,41.73,-2.43,0.0,True,25,28,25,51,False,True,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,14407,27.17,0.72,0.0,True,25,28,25,51,False,True,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,10738,22.85,-18.9,0.0,True,25,28,25,51,True,True,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,24466,12.53,25.28,0.0,True,25,28,25,51,False,True,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,7863,13.66,-31.39,0.0,True,25,28,25,51,False,True,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,33512,1.05,-15.89,0.0,True,25,28,25,51,False,True,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,7017,6.19,2.41,0.0,True,25,28,25,51,False,True,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,3837,-2.87,-5.52,0.0,True,25,28,25,51,False,True,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,10082,-12.43,22.2,0.0,True,25,28,25,51,False,True,0.0
